Date,Open,High,Low,Close,Adj Close,Volume
2023-04-18,12.750000,12.800000,12.150000,12.400000,12.400000,35999574
2023-04-19,12.400000,12.600000,12.100000,12.250000,12.250000,37469474
2023-04-20,12.250000,12.450000,12.050000,12.100000,12.100000,22356101
2023-04-21,12.100000,12.350000,11.900000,12.000000,12.000000,41595866
2023-04-24,12.100000,12.150000,11.700000,11.800000,11.800000,24257112
2023-04-25,11.800000,12.250000,11.750000,11.850000,11.850000,30992225
2023-04-26,11.850000,12.200000,11.800000,11.900000,11.900000,33574152
2023-04-27,11.950000,12.750000,11.950000,12.500000,12.500000,69405704
2023-04-28,12.600000,12.700000,12.100000,12.200000,12.200000,36723917
2023-05-02,12.250000,12.400000,12.100000,12.150000,12.150000,17516877
2023-05-03,12.100000,12.150000,11.850000,11.900000,11.900000,27894500
2023-05-04,12.050000,12.700000,12.050000,12.200000,12.200000,60912396
2023-05-05,12.150000,12.600000,12.050000,12.400000,12.400000,40026169
2023-05-08,12.550000,12.550000,12.100000,12.150000,12.150000,21423800
2023-05-09,12.200000,12.300000,11.950000,12.000000,12.000000,20934654
2023-05-10,12.050000,12.100000,11.850000,11.900000,11.900000,13335218
2023-05-11,11.950000,12.150000,11.800000,11.850000,11.850000,19675010
2023-05-12,11.900000,12.000000,11.750000,11.800000,11.800000,15011082
2023-05-15,11.850000,11.850000,11.550000,11.600000,11.600000,15046036
2023-05-16,11.650000,12.050000,11.650000,11.700000,11.700000,28245933
2023-05-17,11.750000,11.850000,11.550000,11.600000,11.600000,17016164
2023-05-18,11.650000,11.800000,11.300000,11.400000,11.400000,18992232
2023-05-19,11.400000,11.550000,11.050000,11.450000,11.450000,28461817
2023-05-22,11.500000,11.850000,11.350000,11.500000,11.500000,29174177
2023-05-23,11.550000,13.050000,11.450000,12.950000,12.950000,303719881
2023-05-24,12.950000,13.150000,11.900000,12.100000,12.100000,125805073
2023-05-25,12.150000,13.700000,12.000000,12.850000,12.850000,441947341
2023-05-26,12.850000,14.000000,12.850000,13.050000,13.050000,336937268
2023-05-29,13.250000,13.650000,13.000000,13.300000,13.300000,193534442
2023-05-30,13.300000,13.350000,12.850000,12.950000,12.950000,109769357
2023-05-31,13.000000,13.150000,12.750000,12.950000,12.950000,72173214
2023-06-01,13.000000,13.250000,12.850000,12.950000,12.950000,44995950
2023-06-02,13.000000,13.350000,12.950000,13.150000,13.150000,53056381
2023-06-05,13.250000,13.350000,13.000000,13.100000,13.100000,39998339
2023-06-06,13.100000,13.700000,13.050000,13.600000,13.600000,103474418
2023-06-07,13.600000,15.300000,13.550000,14.750000,14.750000,234230014
2023-06-08,14.600000,15.100000,13.800000,14.050000,14.050000,130572192
2023-06-09,14.150000,14.450000,13.800000,13.950000,13.950000,82980361
2023-06-12,14.000000,16.250000,14.000000,15.850000,15.850000,350896355
2023-06-13,16.299999,16.900000,15.650000,16.049999,16.049999,269392680
2023-06-14,16.150000,16.350000,15.700000,15.900000,15.900000,124100769
2023-06-15,15.900000,17.000000,15.800000,16.750000,16.750000,311399704
2023-06-16,16.850000,17.450001,15.850000,16.100000,16.100000,233929319
2023-06-19,16.299999,16.650000,15.400000,15.700000,15.700000,136156356
2023-06-20,15.700000,15.800000,15.050000,15.300000,15.300000,102811556
2023-06-21,15.350000,15.650000,14.850000,15.000000,15.000000,134021474
2023-06-22,15.100000,15.200000,14.500000,14.750000,14.750000,100194362
2023-06-23,14.800000,14.950000,14.400000,14.750000,14.750000,80172848
2023-06-26,14.800000,15.050000,14.000000,14.100000,14.100000,86234397
2023-06-27,14.100000,14.500000,13.800000,13.850000,13.850000,82890418
2023-06-28,13.950000,14.450000,13.950000,14.150000,14.150000,73113184
2023-06-30,14.300000,14.450000,13.800000,14.050000,14.050000,64796886
2023-07-03,14.200000,15.250000,14.100000,15.000000,15.000000,223546092
2023-07-04,15.100000,15.300000,14.400000,14.650000,14.650000,133545307
2023-07-05,14.550000,14.800000,14.300000,14.350000,14.350000,101420478
2023-07-06,14.350000,15.550000,14.300000,15.300000,15.300000,284800394
2023-07-07,15.300000,15.650000,14.900000,15.250000,15.250000,145694306
2023-07-10,15.350000,15.500000,14.900000,15.050000,15.050000,60637006
2023-07-11,15.050000,15.600000,14.900000,15.350000,15.350000,110499183
2023-07-12,15.500000,16.250000,15.300000,15.900000,15.900000,201191060
2023-07-13,16.049999,16.200001,15.050000,15.200000,15.200000,114712259
2023-07-14,15.250000,15.450000,15.000000,15.250000,15.250000,83402993
2023-07-17,15.350000,15.500000,15.150000,15.250000,15.250000,42765404
2023-07-18,15.300000,15.500000,14.850000,15.200000,15.200000,118991946
2023-07-19,15.200000,15.850000,15.200000,15.650000,15.650000,154585372
2023-07-20,15.750000,16.100000,15.500000,15.700000,15.700000,112725727
2023-07-21,15.600000,16.450001,15.500000,15.800000,15.800000,171203870
2023-07-24,15.950000,16.350000,15.600000,15.650000,15.650000,105234223
2023-07-25,15.750000,16.200001,15.700000,15.950000,15.950000,85396364
2023-07-26,16.000000,16.049999,15.650000,15.750000,15.750000,64050635
2023-07-27,15.800000,16.900000,15.750000,16.549999,16.549999,246061577
2023-07-28,16.549999,16.750000,15.850000,16.100000,16.100000,115685551
2023-07-31,16.100000,16.600000,15.950000,16.450001,16.450001,107623352
2023-08-01,16.500000,17.400000,16.400000,17.000000,17.000000,197567994
2023-08-02,16.900000,18.350000,16.700001,18.150000,18.150000,396882728
2023-08-03,18.350000,18.549999,17.250000,18.049999,18.049999,245776641
2023-08-04,18.200001,19.200001,18.100000,19.049999,19.049999,291761372
2023-08-07,19.299999,19.500000,18.500000,18.650000,18.650000,215951344
2023-08-08,18.650000,18.700001,17.600000,17.799999,17.799999,123268940
2023-08-09,17.799999,18.500000,17.600000,18.250000,18.250000,140190910
2023-08-10,17.500000,17.950001,17.299999,17.500000,17.500000,126456625
2023-08-11,17.650000,17.900000,17.200001,17.400000,17.400000,76829316
2023-08-14,17.400000,17.450001,16.850000,16.950001,16.950001,61882364
2023-08-16,16.900000,17.200001,16.450001,16.750000,16.750000,87314956
2023-08-17,16.700001,17.250000,16.450001,16.549999,16.549999,79975462
2023-08-18,16.600000,16.850000,16.299999,16.400000,16.400000,58640566
2023-08-21,16.500000,16.650000,16.250000,16.350000,16.350000,47479520
2023-08-22,16.400000,17.549999,16.350000,17.400000,17.400000,137649420
2023-08-23,17.500000,17.799999,17.200001,17.299999,17.299999,78020081
2023-08-24,17.450001,17.650000,17.200001,17.299999,17.299999,79846622
2023-08-25,17.350000,18.000000,17.250000,17.350000,17.350000,117823049
2023-08-28,17.549999,17.750000,17.350000,17.450001,17.450001,61334510
2023-08-29,17.650000,18.650000,17.600000,18.250000,18.250000,195394729
2023-08-30,18.500000,20.600000,18.250000,20.200001,20.200001,569141634
2023-08-31,20.400000,20.650000,18.900000,19.150000,19.150000,264116104
2023-09-01,19.299999,19.900000,18.900000,19.000000,19.000000,134930310
2023-09-04,19.299999,20.150000,19.000000,19.549999,19.549999,143886986
2023-09-05,19.650000,20.100000,19.100000,19.799999,19.799999,122485331
2023-09-06,20.000000,21.600000,20.000000,21.200001,21.200001,358332671
2023-09-07,21.100000,21.450001,20.750000,21.200001,21.200001,136951787
2023-09-08,21.350000,22.049999,20.900000,21.150000,21.150000,166587523
2023-09-11,21.299999,21.350000,20.650000,20.799999,20.799999,91580431
2023-09-12,20.950001,21.000000,18.200001,18.400000,18.400000,177964372
2023-09-13,18.500000,19.150000,17.799999,19.000000,19.000000,146455333
2023-09-14,19.200001,19.600000,18.650000,18.750000,18.750000,111473884
2023-09-15,18.900000,19.549999,18.600000,19.150000,19.150000,97096853
2023-09-18,19.150000,19.450001,18.850000,19.100000,19.100000,58256083
2023-09-20,19.000000,19.400000,18.700001,19.049999,19.049999,95451417
2023-09-21,19.000000,19.700001,18.799999,19.000000,19.000000,109797642
2023-09-22,19.049999,19.400000,18.750000,18.900000,18.900000,83933616
2023-09-25,19.100000,19.200001,18.850000,18.950001,18.950001,46443309
2023-09-26,19.000000,19.650000,18.850000,19.000000,19.000000,69568077
2023-09-27,19.000000,19.299999,18.900000,19.200001,19.200001,67263376
2023-09-28,19.200001,20.150000,19.100000,19.150000,19.150000,121084044
2023-09-29,19.350000,19.400000,19.049999,19.250000,19.250000,39541489
2023-10-03,19.299999,19.549999,19.150000,19.250000,19.250000,52662477
2023-10-04,19.250000,19.250000,18.400000,18.799999,18.799999,68891569
2023-10-05,18.950001,19.100000,18.549999,18.900000,18.900000,43782204
2023-10-06,18.950001,19.100000,18.750000,18.850000,18.850000,26043912
2023-10-09,18.500000,18.500000,17.700001,17.850000,17.850000,50799957
2023-10-10,17.900000,18.100000,17.700001,17.799999,17.799999,42788219
2023-10-11,17.900000,18.350000,17.850000,18.200001,18.200001,43594800
2023-10-12,18.299999,18.350000,17.850000,18.000000,18.000000,39860092
2023-10-13,17.850000,18.049999,17.700001,17.750000,17.750000,27054229
2023-10-16,17.900000,18.500000,17.700001,18.400000,18.400000,92471985
2023-10-17,18.450001,18.799999,18.250000,18.549999,18.549999,63936691
2023-10-18,18.650000,18.799999,18.100000,18.150000,18.150000,44885996
2023-10-19,18.000000,18.850000,18.000000,18.650000,18.650000,85820805
2023-10-20,18.650000,19.000000,18.299999,18.500000,18.500000,63826654
2023-10-23,18.549999,18.650000,16.299999,16.700001,16.700001,80110583
2023-10-25,17.049999,17.250000,15.950000,16.299999,16.299999,79888875
2023-10-26,16.100000,16.700001,15.550000,16.500000,16.500000,76547213
2023-10-27,16.600000,16.950001,16.549999,16.799999,16.799999,33325399
2023-10-30,16.900000,17.150000,16.450001,16.950001,16.950001,61855118
2023-10-31,17.049999,17.299999,16.799999,17.100000,17.100000,42272362
2023-11-01,16.900000,17.600000,16.850000,17.400000,17.400000,74842373
2023-11-02,17.600000,18.350000,17.350000,18.250000,18.250000,77875784
2023-11-03,18.450001,18.650000,18.150000,18.250000,18.250000,68732670
2023-11-06,18.400000,20.250000,18.350000,19.299999,19.299999,259712325
2023-11-07,19.450001,20.850000,19.350000,20.700001,20.700001,232715280
2023-11-08,20.900000,21.100000,20.100000,20.450001,20.450001,135784164
2023-11-09,20.600000,21.750000,20.250000,21.200001,21.200001,225110596
2023-11-10,21.250000,21.650000,20.250000,20.500000,20.500000,149791559
2023-11-13,20.650000,22.750000,20.250000,22.500000,22.500000,294553361
2023-11-15,22.850000,23.200001,22.049999,22.299999,22.299999,158954240
2023-11-16,22.299999,23.150000,22.150000,22.650000,22.650000,163568647
2023-11-17,22.600000,23.750000,22.350000,22.850000,22.850000,285161163
2023-11-20,23.000000,23.200001,21.799999,22.100000,22.100000,130712010
2023-11-21,22.200001,22.400000,21.049999,21.350000,21.350000,126666416
2023-11-22,21.400000,21.450001,20.700001,20.900000,20.900000,118764772
2023-11-23,21.100000,21.799999,20.950001,21.350000,21.350000,108417604
2023-11-24,21.400000,21.500000,20.700001,20.900000,20.900000,72667677
2023-11-28,21.000000,21.400000,20.750000,20.900000,20.900000,102431117
2023-11-29,21.000000,21.650000,20.750000,21.500000,21.500000,119348659
2023-11-30,21.549999,21.600000,20.799999,21.150000,21.150000,105285487
2023-12-01,21.200001,21.450001,20.650000,20.850000,20.850000,75245066
2023-12-04,21.100000,21.299999,20.799999,20.900000,20.900000,48218169
2023-12-05,21.000000,22.400000,20.650000,22.299999,22.299999,199210606
2023-12-06,22.400000,23.400000,21.900000,23.200001,23.200001,222427296
2023-12-07,23.200001,24.350000,22.900000,23.250000,23.250000,267160956
2023-12-08,23.250000,24.450001,22.950001,23.950001,23.950001,265304415
2023-12-11,24.350000,25.200001,23.950001,24.500000,24.500000,246235193
2023-12-12,24.700001,24.799999,22.850000,23.200001,23.200001,183998905
2023-12-13,23.299999,23.950001,23.000000,23.799999,23.799999,157544783
2023-12-14,23.950001,24.299999,23.549999,23.850000,23.850000,113211921
2023-12-15,23.900000,24.250000,23.400000,23.600000,23.600000,90282269
2023-12-18,23.350000,24.000000,23.100000,23.799999,23.799999,76259742
2023-12-19,23.799999,24.650000,23.650000,23.750000,23.750000,110705956
2023-12-20,23.900000,24.200001,20.850000,21.400000,21.400000,153301134
2023-12-21,21.350000,23.100000,20.600000,22.700001,22.700001,177574729
2023-12-22,22.799999,23.150000,22.200001,22.400000,22.400000,87841372
2023-12-26,22.600000,22.900000,22.250000,22.600000,22.600000,60927333
2023-12-27,22.650000,23.100000,22.400000,22.600000,22.600000,75727285
2023-12-28,22.650000,22.799999,22.150000,22.350000,22.350000,43977932
2023-12-29,22.400000,23.400000,22.200001,23.299999,23.299999,139420239
2024-01-01,23.500000,24.250000,23.299999,23.950001,23.950001,146057646
2024-01-02,24.100000,24.450001,23.299999,24.100000,24.100000,148872594
2024-01-03,24.100000,26.350000,23.850000,25.950001,25.950001,493391328
2024-01-04,26.299999,31.000000,25.900000,30.400000,30.400000,773822956
2024-01-05,31.350000,33.000000,30.650000,31.400000,31.400000,686804682
2024-01-08,31.650000,33.150002,30.799999,32.049999,32.049999,190139992
2024-01-09,32.500000,32.849998,31.000000,31.299999,31.299999,93350142
2024-01-10,31.549999,32.200001,30.000000,30.799999,30.799999,81647238
2024-01-11,31.500000,31.850000,30.799999,31.100000,31.100000,52230067
2024-01-12,31.250000,31.299999,30.500000,30.900000,30.900000,39833184
